From agency,To agency,Relationship type,Description,Status
Tribal,CLiP,info/research,reports,
CLiP,Tribal,info/research,reports,
Copes,CLiP,info/research,,
CRESCENT,CLiP,info/research,,
CLiP,Copes,info/research,,
CLiP,CRESCENT,info/research,,
CLiP,OREAS,info/research,,
CLiP,ORMedia,info/research,,
FEMA,EERI,funding,,
EERI,FEMA,info/research,building code support,
PG&E,EERI,info/research,,
EERI,PG&E,info/research,,
SCEC,EERI,info/research,researchers are members,
CRESCENT,EERI,info/research,researchers are members,
EERI,SCEC,info/research,researchers are members,
EERI,CRESCENT,info/research,researchers are members,
NHERI,EERI,info/research,researchers are members,
EERI,NHERI,info/research,researchers are members,
EERI,CREW,info/research,,
CREW,EERI,info/research,,
EERI,CalOES,emergency response coordination,clearing house coordination,
CalOES,EERI,emergency response coordination,clearing house coordination,
CGS,EERI,emergency response coordination,clearing house coordination,
EERI,CGS,emergency response coordination,clearing house coordination,
USGS,EERI,emergency response coordination,clearing house coordination,
EERI,USGS,emergency response coordination,clearing house coordination,
USGS,EERI,funding,,
EERI,CaSSC,info/research,"policy, members advice",
EERI,IAEE,emergency response coordination,reconnaissance,
CRESCENT,SCEC,info/research,,
SCEC,CRESCENT,info/research,,
USGS,SCEC,info/research,,
SCEC,USGS,info/research,,
SCEC,NHRP,info/research,,
NHRP,SCEC,info/research,,
SCEC,CalDWR,info/research,,
CalDWR,SCEC,info/research,,
SCEC,PG&E,info/research,,
PG&E,SCEC,info/research,,
RCTWG,CRESCENT,info/research,,
CRESCENT,RCTWG,info/research,,
CalOES,CRESCENT,info/research,,
RCTWG,USGS,info/research,,
USGS,RCTWG,info/research,,
NTHMP,RCTWG,info/research,,
RCTWG,NTHMP,info/research,,
NOAA-NTWC,RCTWG,info/research,,
RCTWG,NOAA-NTWC,info/research,,
NOAA-NWS,RCTWG,info/research,eureka forecast office,
RCTWG,NOAA-NWS,info/research,eureka forecast office,
PG&E,RCTWG,info/research,,
RCTWG,PG&E,info/research,,
CalTrans,RCTWG,info/research,,
RCTWG,CalTrans,info/research,,
Tribal,RCTWG,info/research,Yurok Tolowa Bluelake Rancheria,
RCTWG,Tribal,info/research,Yurok Tolowa Bluelake Rancheria,
PBOT,RDPO,emergency response coordination,,
RDPO,PBOT,emergency response coordination,,
PBOT,OEM,emergency response coordination,,
OEM,PBOT,emergency response coordination,,
USGS,PBOT,data,,
JPL,PBOT,data,,
USGS,PBOT,data,ShakeAlert,
PBOT,PGE,emergency response coordination,,
PBOT,PacifiCorp,emergency response coordination,,
PBOT,Trimet,emergency response coordination,,
PGE,PBOT,emergency response coordination,,
PacificCor,PBOT,emergency response coordination,,
Trimet,PBOT,emergency response coordination,,
BNSF,PBOT,emergency response coordination,,
UP,PBOT,emergency response coordination,,
PBOT,BNSF,emergency response coordination,,
PBOT,UP,emergency response coordination,,
USGS,PacifiCorp,data,,
USGA,PacifiCorp,data,ShakeAlert,
NOAANWTC,PacifiCorp,data,,
NOAANWS,PacifiCorp,data,,
NIFC,PacifiCorp,data,,
OEM,PacifiCorp,info/research,,
WAEMD,PacifiCorp,info/research,,
CalOES,PacifiCorp,info/research,,
PacifiCorp,OEM,info/research,,
PacifiCorp,WAEMD,info/research,,
PacifiCorp,CalOES,info/research,,
OEM,PacifiCorp,emergency response coordination,,
WAEMD,PacifiCorp,emergency response coordination,,
CalOES,PacifiCorp,emergency response coordination,,
PacifiCorp,OEM,emergency response coordination,,
PacifiCorp,WAEMD,emergency response coordination,,
PacifiCorp,CalOES,emergency response coordination,,
RDPO,PacifiCorp,info/research,,
CLiP,PacifiCorp,info/research,,
USFS,PacifiCorp,info/research,,
PacifiCorp,USFS,info/research,,
USFS,PacifiCorp,emergency response coordination,,
